Date,Title,description
5/2/17,GOP health-care push faces new obstacles as concerns about preexisting conditions grow,It is unclear when or even if the revamped House GOP plan will come to a vote.
5/2/17,"An emotional Jimmy Kimmel discusses newborn sonÕs heart disease, makes passionate health-care plea","""No parent should ever have to decide if they can afford to save their child's life,"" Kimmel said tearfully on his show Monday night."
5/2/17,Jon Tester could teach Democrats a lot about rural America Ñ if he can keep his Senate seat,"Part farmer, part D.C. insider, and fully vulnerable in 2018, the gentleman from Montana plows forward."
5/2/17,Former S.C. police officer to plead guilty in fatal shooting caught on video,"Michael Slager had faced state and local charges in the April 2015 shooting of Walter Scott, who was gunned down as he ran away from the officer."
5/2/17,South KoreaÕs likely next president warns the U.S. not to meddle in its democracy,But Moon Jae-in says he thinks ÒTrump is more reasonable than he is generally perceived.Ó
5/2/17,"Perspective | If you think Fox News is changing, Rupert MurdochÕs internal memo shows it isnÕt. At all.",Tainted culture endures in rise of Ailes enablers and single-minded devotion to profits.
5/2/17,A young photographer took this harrowing image of the Vietnam War. He didnÕt live to see it published.,Robert J. Ellison was a 23-year-old freelancer working for Newsweek magazine when he took unforgettable photos of the siege of Khe Sanh. He was killed days later.
5/2/17,Avocado prices are at a record high Ñ just in time for Cinco de Mayo,This year's harvest was smaller than the last Ñ and the already-reduced supply is being stretched thinner by greater demand.
5/2/17,Brexit: Theresa May says she'll be 'bloody difficult' to Juncker,Theresa May responds to claims she clashed with the EU Commission chief over Brexit.
5/2/17,Diane Abbott says she 'misspoke' on Labour's police policy,Diane Abbott insists she can be trusted after getting the cost wrong of Labour's policing pledge.
5/2/17,Priory's care plan for anorexic teen Pippa McManus 'inadequate',"Pippa McManus, 15, stepped in front of a train five days after leaving The Priory hospital."
5/2/17,FBI woman went to Syria to wed IS recruiter she investigated,The married linguist reportedly wed the jihadist six months after being assigned to investigate him.
5/2/17,Brexit leads first Evening Standard under George Osborne,Relations between the PM and EU lead the Evening Standard on the ex-chancellor's first day as editor.
5/2/17,Six on trial over topless photos of Duchess of Cambridge,"Prosecutor calls for ""significant fines"" following publication of images in France in 2012."
5/2/17,Chechnya gay rights: Merkel urges Putin to intervene,"Germany's leader urges Russia to protect gay rights, amid reports of persecution in Chechnya."
5/2/17,Scottish surfer rescued after surviving 32 hours at sea,The dramatic moment a surfer is rescued after spending more than a day drifting at sea off the coast of Scotland.
5/2/17,Patient dies after 54 years in same Airdrie hospital,Ex-soldier James Morris is thought to have spent longer in a single NHS hospital than anyone else.
5/2/17,Viscount denies Gina Miller Facebook threat,"Rhodri Philipps denies threatening Gina Miller in one of three ""malicious"" messages."
5/2/17,"PM announces 'Gonski 2.0' schools review, funding boost","The Federal Government says it will overhaul education funding in a bid to end the school funding wars, but Labor has condemned the plan as an act of political bastardry."
5/2/17,Australian detained in US for 'overstaying visa by 90 minutes',A Canberra man is detained in the United States for reportedly overstaying his visa by less than two hours.
5/2/17,"Woman 'brutalised', told to dig own grave during kidnap ordeal, court told","A woman was kidnapped, raped and told to dig her own grave by her former partner during a horror movie ordeal, the prosecution alleges in the SA District Court."
5/2/17,Why building Sydney's second airport has fallen to the Government,Sydney Airport's decision to walk away from its first right of refusal on building the Badgerys Creek airport comes as no real surprise.
5/2/17,North Korea says US bomber flights signal pre-emptive nuclear strike,North Korea accuses the United States of pushing the Korean peninsula to the brink of nuclear war.
5/2/17,Is 61 too old to become a mother?,Melbourne woman Shammi Pal was 61 when she gave birth to her daughter Angel last year. She claims that as an older mother she's faced disapproval and feared her child would be taken away from her.
5/2/17,Here's how changes to universities affect you (even if you've graduated),How would the Government's proposed university changes affect you?
5/2/17,Chinese teen promised $200K payday jailed over record WA ice haul,A Chinese teenager is jailed for at least seven and a half years over Western Australia's biggest ever seizure of methylamphetamine.
5/2/17,Owner of rogue tyre recycling business convicted over abusive messages,The owner of a rogue tyre recycling business at the centre of an ABC investigation is convicted of threatening a former associate and a former employee by leaving abusive messages on their mobile phones.
5/2/17,'Day from hell': A doctor's account of the Khan Sheikhoun chemical attack,Dr Marmoun Morad was in Khan Sheikhoun when it was hit by a chemical attack. He told Lateline it was like seeing the end of the world.
5/2/17,Trump raises prospect of government shutdown to leverage better budget for GOP in fall,The president also suggested changing the rules in the Senate to eliminate the legislative filibuster.
5/2/17,Lawmakers warn airlines: Shape up or else,"ÒIf changes arenÕt made by the next hearing, I can assure you, you wonÕt like the outcome,Ó Rep. Bill Shuster said."
5/2/17,Police: Suspect in University of Texas stabbings had mental health trouble,"A student with a large hunting knife stabbed at least four people on the University of Texas campus, killing one and seriously wounding the others."
5/2/17,Officer Who Shot Walter Scott Is to Plead Guilty in Charleston,"Michael T. Slager was a North Charleston police officer when he was recorded on video opened fire on Mr. Scott, a fleeing, unarmed black motorist."
5/2/17,Microsoft's sleek Surface Laptop is the flagship for Windows 10 S,Microsoft's new Surface Laptop was created to showcase Windows 10 S and lead a new generation of Windows 10 S ultraportable devices.
5/2/17,South KoreaÕs likely next president warns the U.S. not to meddle in its democracy,But Moon Jae-in says he thinks ÒTrump is more reasonable than he is generally perceived.Ó
5/2/17,Trump and Putin to Talk Amid Tension Over Syria,The American and Russian presidents will have their first conversation since the rupture over the Syrian chemical attack and the American retaliation.
5/2/17,Ivanka TrumpÕs West Wing Agenda,The first daughter has the presidentÕs trust and a widening portfolio. So what will she do with it?
5/2/17,Generation Macron: Young liberal EU leaders rally behind French 'Kennedy',"If Emmanuel Macron wins Sunday's French presidential run-off, Europe's pro-EU liberals will finally have their champion."
5/2/17,FBI woman went to Syria to wed IS recruiter she investigated,The married linguist reportedly wed the jihadist six months after being assigned to investigate him.
5/2/17,Trump Tries to Save Face After Taking a Thumping on His First Budget Showdown,President Donald TrumpÕs first budget showdown with CongressÊwent so poorly heÕs already talking about a government shutdown in September and an end to the SenateÕs filibuster rule.
5/2/17,"Cattle Futures, Beef Price Soar After Blizzard Clobbers Midwest","Cattle futures extended a surge to a record and wholesale beef jumped to a 13-month high after a weekend blizzard hammered the Midwest, and a Kansas livestock group estimated the snowstorm may have killed thousands of animals, signaling tightening meat supplies."
5/2/17,Putin Pushes Syria Peacekeeper Plan With Trump to Save Truce,President Vladimir Putin is pushing a planÊwith U.S. President Donald Trump to create security zones and deploy peacekeepers in Syria -- possibly including Russian forces -- to enforce a faltering cease-fire as he tries to find a resolution to the more than six-year conflict.
5/2/17,AMD Stock on Course for Worst Day in More Than a Decade,Advanced Micro Devices Inc.Õs stock is on course for its worst one-day decline in more than a decade after its second-quarter forecast deflated hopes that a new range of chips will take sales from Intel Corp.
5/2/17,"Molina Replaces Family CEO, CFO in Leadership Shake-Up","Molina Healthcare Inc. will remove its top two executives in a major shake-up at what has largely been a family-run company, replacing Chief Executive Officer J. Mario Molina and Chief Financial Officer John C. Molina, who are brothers."
5/2/17,Apple CanÕt Ignore MicrosoftÕs Slick New Laptop,"AnÊexclusive look at the Surface Laptop, a $999 machine that boots up in seconds, weighs 2.76 pounds and runs a sportier version of Windows."
5/2/17,"Meet the 'Wine Whisperers,' Fancy Grape Fixers for Billionaires","According to their clients, personal wine advisersÊare Òsaving wine lives.Ó"
5/2/17,"If Anything Can Shake the FedÕs 2017 Rate Path, ItÕs These Risks","From economic fundamentals to global politics, here's what should shake up the Fed's plans"
5/2/17,Airline Leaders Lambasted at Hearing on Passenger Treatment,Lawmakers lambasted executives from United Airlines and other carriers Tuesday as the first of two congressional hearings began into the high-profile incident of police dragging a man off a flight last month.
5/2/17,HereÕs What ÔBillionsÕ Gets Wrong About the Municipal Bond Market,Not quite how it works.
5/2/17,"Matteo Renzi is back in Italian politics, for now",Despite a convincing victory he faces a tough time in parliament
5/2/17,Emmanuel Macron would be the youngest leader in French history,"Leaders of western economies are getting younger, even as their populations age"
5/2/17,The politics of Jeremy CorbynÕs beard,Britons are getting hairier but still prefer their politicians clean shaven
5/2/17,The mysterious case of the missing prime minister,"With a big lead in the polls, the Conservatives are running a content-free campaign"
5/2/17,A polygamy trial in Canada tests the limits of conjugal freedom,The case illustrates the tension between religious freedom and human rights in democracies
5/2/17,Home-sharing sites are targeting business travellers,But some road warriors will always prefer the safe option of a hotel
5/2/17,Donald Trump Gambles on Big Health-Care Victory,"The White House is pursuing a twisting path in Congress this week, yielding to Democratic demands on a major spending bill while aggressively pushing a partisan health-care measure, gambling on a big win on health but risking setbacks on both fronts."
5/2/17,Trump Preparing to Replace Top Banking Regulator,"The Trump administration, looking to make its first major imprint on U.S. banking regulators, is preparing to replace Comptroller of the Currency Thomas Curry as chief overseer of federally chartered banks."
5/2/17,Greek Austerity Deal Opens Up Potential Path Out of Bailout,"Greece and its international creditors sealed a deal Tuesday over fresh austerity measures, keeping its Û86-billion ($93.74 billion) bailout on track and clearing the way for debt-relief talks that offer the best chance in years for the battered Greek economy to begin healing."
5/2/17,"When BarclaysÕs Jes Staley Went to Bat for an In-Law, a Powerful Client Cried Foul","Jes Staley, chief executive of Barclays, angered client KKR when he interceded for his brother-in-law with potential investors, after KKRÕs purchase of the family business went sour."
5/2/17,UnitedÕs Oscar Munoz Faces Lawmakers in Wake of PassengerÕs Violent Removal,United Continental CEO Oscar Munoz and other airline executives were warned--fix customer service or face new regulations--in a House committee hearing Tuesday as fallout from a passengerÕs forced removal from a flight continued.
5/2/17,Trump Adviser Jared Kushner DidnÕt Disclose Startup Stake,"Jared Kushner, the presidentÕs son-in-law and senior adviser, didnÕt identify on his government financial disclosure form that he is currently a part-owner of a real-estate finance startup and has a number of loans from banks on properties he co-owns, according to securities filings."
5/2/17,"How Millennial Execs Can Win Over Older, Skeptical Peers","Companies are recruiting young bosses to jump-start or reinvent businesses, but those leaders often struggle to gain acceptance and trust from skeptical older colleagues."
5/2/17,China Keeps a Wary Eye on TrumpÕs Tax-Cut Plan,"China, which has tried for years to reduce business costs, is worried that TrumpÕs tax proposals will set back its global competitiveness and spur companies to invest in the U.S. instead of China."
5/2/17,Auto Makers Report Steep Sales Declines in April,"DetroitÕs auto makers signaled the U.S. auto industryÕs hot streak is rapidly cooling, reporting steep declines that include sluggish demand for the trucks and SUVs that have fueled record profits for domestic players."
5/2/17,Attacker walked 'calmly' during stabbing spree at University of Texas,Police are searching for a motive Tuesday in a series of stabbings at the University of Texas at Austin that left one student dead and three others injured.
5/2/17,"1 dead, 3 hurt in University of Texas stabbings","One person was killed and three were injured in a stabbing attack Monday afternoon on the campus of the University of Texas at Austin, officials said."
5/2/17,Jimmy Kimmel tearfully reveals son's health crisis,Jimmy Kimmel used his monologue Monday night to get both personal and political.
5/2/17,President Trump today: Live updates,The GOP tries to get support for the health care bill (again). President Trump talks to Putin. And United Airlines CEO testifies on the Hill. Follow CNN live.
5/2/17,Trump: Our country needs a good 'shutdown',"President Donald Trump tweeted Tuesday that the country needs a ""good 'shutdown,'"" as well advocated for changing Senate rules, in a pair of tweets where he complained about the congressional negotiating process."
5/2/17,Trump's 100-days interviews prove it: He needs to stop talking so much,"In the last six days, President Donald Trump has granted extended interviews to 12(!) major media outlets. And, in almost every one he's managed to say something -- or a lot of somethings -- that has created controversy and raised real questions about what he actually knows (and what he doesn't.)"
5/2/17,Trump Abruptly Ends CBS Interview After Wiretap Question,The testy exchange was at odds with the image of competence and message discipline White House officials have labored to show over the past week.
5/2/17,TrumpÕs ÔVery FriendlyÕ Talk With Duterte Stuns Aides and Critics Alike,"The administration is bracing for an avalanche of criticism after the president embraced Rodrigo Duterte, who has led a deadly crackdown on drugs in the Philippines."
5/2/17,"Rihanna, Kendall Jenner, J.Lo and More Met Gala 2017 Looks",They donÕt call it the Oscars of the East Coast for nothing. See the celebrities who ascended the steps of the Met on Monday night Ñ and what they wore.
5/2/17,"With Fox News in Tumult, Another Executive, Bill Shine, Is Ousted","The removal of a co-president, a holdover from the Roger Ailes era, continued a housecleaning prompted by a sexual harassment scandal."
5/2/17,Everything You Need to Know About the Met Gala 2017,"The inside scoop on Òthe party of the year,Ó from how much it costs to who gets to go and why you should care."
5/2/17,Police Account Changes in Killing of Texas 15-Year-Old,Jordan Edwards was shot late on Saturday when the police in a Dallas suburb were responding to a call reporting young people drinking.
5/2/17,Trump on the Civil War: ÔWhy Could That One Not Have Been Worked Out?Õ,"Could Andrew Jackson have stopped the war? Trump suggests so in an interview on SiriusXM. The seventh president, a slaveholder, died 16 years before the war began."
5/2/17,"Gorsuch, in Sign of Independence, Is Out of Supreme CourtÕs Clerical Pool","Justice Neil M. Gorsuch, like Justice Samuel A. Alito Jr., will not receive recommendations written by a group of law clerks in deciding which cases to hear."
5/2/17,Jimmy KimmelÕs Emotional Monologue: His New SonÕs Heart Condition,The host of ÒLive!Ó revealed that he was off last week because his wife had given birth to a son. Then he told a frightening story.
5/2/17,"An emotional Jimmy Kimmel discusses newborn sonÕs heart disease, makes passionate health-care plea","""No parent should ever have to decide if they can afford to save their child's life,"" Kimmel said tearfully on his show Monday night."
5/2/17,Former S.C. police officer to plead guilty in fatal shooting caught on video,"Michael Slager had faced state and local charges in the April 2015 shooting of Walter Scott, who was gunned down as he ran away from the officer."
5/2/17,South KoreaÕs likely next president warns the U.S. not to meddle in its democracy,But Moon Jae-in says he thinks ÒTrump is more reasonable than he is generally perceived.Ó
5/2/17,"Prospects for black America about to get worse under Trump, report says","Despite campaign promises touting a Ònew deal for black America,Ó recent progress made towards racial equality is increasingly under threat."
5/2/17,Trump promised to free a Pakistani surgeon who helped find bin Laden. HeÕs still in prison.,"U.S. forces killed the al-Qaeda leader exactly six years ago, and Shakil Afridi has been in jail ever since."
5/2/17,"Tony Award nominations 2017: ÔNatasha, PierreÕ leads with 12 nods","Lead actor Ben Platt secured a nomination for his role as the angst-filled teenager in ""Dear Evan Hansen."""
5/2/17,Diane Abbott says she 'misspoke' on Labour's police policy,Diane Abbott insists she can be trusted after getting the cost wrong of Labour's policing pledge.
5/2/17,Brexit: UK 'will not enter into briefing war' with EC,"Senior EU sources warn Brexit talks could fail because of UK ""ignorance"" about how Brussels works."
5/2/17,Chechnya gay rights: Merkel urges Putin to intervene,"Germany's leader urges Russia to protect gay rights, amid reports of persecution in Chechnya."
5/2/17,France election: Watch Le Pen and Fillon read the same passage,Watch Marine Le Pen and François Fillon reading the same passage - two weeks apart (in French).
5/2/17,Scottish rescued after surviving 32 hours at sea,The dramatic moment a surfer is rescued after spending more than a day drifting at sea off the coast of Scotland.
5/2/17,Brexit leads first Evening Standard under George Osborne,Relations between the PM and EU lead the Evening Standard on the ex-chancellor's first day as editor.
5/2/17,'Cufflink terrorist' Samata Ullah given eight years,Samata Ullah from Cardiff used a James Bond-style USB cufflink to store extremist data.
5/2/17,Gas leak at Ineos Grangemouth refinery,Eight fire appliances are sent to the Ineos site and a number of local access roads are closed.
5/2/17,Patient dies after 54 years in same Airdrie hospital,Ex-soldier James Morris is thought to have spent longer in a single NHS hospital than anyone else.
5/2/17,Viscount denies Gina Miller Facebook threat,"Rhodri Philipps denies threatening Gina Miller in one of three ""malicious"" messages."
5/2/17,"PM announces 'Gonski 2.0' schools review, funding boost","The Federal Government says it will overhaul education funding in a bid to end the school funding wars, but Labor has condemned the plan as an act of political bastardry."
5/2/17,Australian detained in US for 'overstaying visa by 90 minutes',A Canberra man is detained in the United States for reportedly overstaying his visa by less than two hours.
5/2/17,"Woman 'brutalised', told to dig own grave during kidnap ordeal, court told","A woman was kidnapped, raped and told to dig her own grave by her former partner during a horror movie ordeal, the prosecution alleges in the SA District Court."
5/2/17,Why building Sydney's second airport has fallen to the Government,Sydney Airport's decision to walk away from its first right of refusal on building the Badgerys Creek airport comes as no real surprise.
5/2/17,North Korea says US bomber flights signal pre-emptive nuclear strike,North Korea accuses the United States of pushing the Korean peninsula to the brink of nuclear war.
5/2/17,Is 61 too old to become a mother?,Melbourne woman Shammi Pal was 61 when she gave birth to her daughter Angel last year. She claims that as an older mother she's faced disapproval and feared her child would be taken away from her.
5/2/17,Here's how changes to universities affect you (even if you've graduated),How would the Government's proposed university changes affect you?
5/2/17,Chinese teen promised $200K payday jailed over record WA ice haul,A Chinese teenager is jailed for at least seven and a half years over Western Australia's biggest ever seizure of methylamphetamine.
5/2/17,Owner of rogue tyre recycling business convicted over abusive messages,The owner of a rogue tyre recycling business at the centre of an ABC investigation is convicted of threatening a former associate and a former employee by leaving abusive messages on their mobile phones.
5/2/17,'Day from hell': A doctor's account of the Khan Sheikhoun chemical attack,Dr Marmoun Morad was in Khan Sheikhoun when it was hit by a chemical attack. He told Lateline it was like seeing the end of the world.
5/2/17,Trump: Our country needs a good 'shutdown',"President Donald Trump tweeted Tuesday that the country needs a ""good 'shutdown,'"" as well advocated for changing Senate rules, in a pair of tweets where he complained about the congressional negotiating process."
5/2/17,Police: Motive unclear for University of Texas stabbings,"A student with a large hunting knife stabbed at least four people on the University of Texas campus, killing one and seriously wounding the others."
5/2/17,South KoreaÕs likely next president warns the U.S. not to meddle in its democracy,But Moon Jae-in says he thinks ÒTrump is more reasonable than he is generally perceived.Ó
5/2/17,Officer Who Shot Walter Scott to Plead Guilty in Charleston,"Michael T. Slager was a North Charleston police officer when he was recorded on video opened fire on Mr. Scott, a fleeing, unarmed black motorist."
5/2/17,Windows 10 S is Microsoft's answer to Chrome OS,New laptops arrive this summer priced from $189
5/2/17,"Merkel to meet Putin to talk Syria, Ukraine",German Chancellor Angela Merkel will meet with Russian President Vladimir Putin Tuesday as Berlin-Moscow relations remain stuck at a low over Ukraine and Syria.
5/2/17,FBI translator married ISIS terrorist she was supposed to investigate,"An FBI translator who was assigned to investigate a bloodthirsty ISIS terrorist wound up falling head-over-heels in love with the man Ñ and married him instead, a report says. Daniela Greene, 38, wÉ"
5/2/17,Ivanka TrumpÕs West Wing Agenda,The first daughter has the presidentÕs trust and a widening portfolio. So what will she do with it?
5/2/17,What we know about the missing US man and his girlfriend found dead in Belize,"A U.S. man and his Canadian girlfriend, who had been missing in the Central American nation of Belize, were found dead Monday afternoon, according to police.Autopsies are set to be performed today on Drew DeVoursney, 36, of Atlanta, and girlfriend Francesca Matus, 52, of Toronto.Police have..."
5/2/17,Apple Q2 2017 Earnings and Conference Call -- Live Blog,Apple Q2 2017 Earnings and Conference Call -- Live Blog
5/2/17,"GOP Losing Votes on Health Bill, Imperiling Its Chances","House Republican leaders are on the brink of losing too many GOP votes to pass their health-care bill, with influential Rep. Fred Upton the latest to say he couldnÕt support the measure in its current form."
5/2/17,"Trump, Putin Discuss Crises in Syria and on Korean Peninsula","President Donald Trump spoke by phone on Tuesday with Russian President Vladimir Putin, weeks after the U.S. leader described relations between Washington and Moscow as reaching an all-time low."
5/2/17,FacebookÕs Female Engineers Claim Gender Bias,"An analysis last year by a longtime engineer at Facebook found female engineers received 35% more rejections of their code than men, setting off an internal debate over gender bias. A later study rejected those findings."
5/2/17,Bipartisan Backlash on Drug Prices Prompts One Company to Cash Out,"Jeffrey Aronin hoped to eventually sell Marathon Pharmaceuticals for billions of dollars, but then the company said it would charge $89,000 a year for a muscular-dystrophy drug."
5/2/17,Trump Adviser Jared Kushner DidnÕt Disclose Startup Stake,"Jared Kushner, the presidentÕs son-in-law and senior adviser, didnÕt identify on his government financial disclosure form that he is currently a part-owner of a real-estate finance startup and has a number of loans from banks on properties he co-owns, according to securities filings."
5/2/17,It Took Investors Just Four Months To Pull Nearly $7 Billion From Hedge Fund Giant,"Investors pulled nearly $7 billion from Och-Ziff Capital Management Group, the largest publicly traded hedge-fund firm in the U.S., in the first four months of 2017, the latest sign of investor disillusionment with Wall StreetÕs most prominent money managers."
5/2/17,BaseballÕs Sluggers Fight Back Against the Shift,"With more teams using an infield shift, hitters are increasingly turning to the bunt to keep defenses honest."
5/2/17,Auto Makers Report Steep Sales Declines in April,"DetroitÕs auto makers signaled the U.S. auto industryÕs hot streak is rapidly cooling, reporting steep declines that include sluggish demand for the trucks and SUVs that have fueled record profits for domestic players."
5/2/17,"United, Other Airlines Warned by Lawmakers to Fix Customer Service",United Continental CEO Oscar Munoz and other airline executives were warned--fix customer service or face new regulations--in a House committee hearing as fallout from a passengerÕs forced removal from a flight continued.
5/2/17,Sources: Former Acting AG Yates to contradict administration about Flynn at hearing,"Former Acting Attorney General Sally Yates is prepared to testify before a Senate panel next week that she gave a forceful warning to the White House regarding then-National Security Advisor Michael Flynn nearly three weeks before he was fired, contradicting the administration's version of events, sources familiar with her account tell CNN."
5/2/17,"Trump, Putin speak amid ongoing tensions",President Donald Trump and Russian President Vladimir Putin spoke by phone Tuesday about the war in Syria for the first time since Trump ordered a missile strike against a Syrian regime air base last month.
5/2/17,Trump: I feel badly for Michael Flynn  - CNN Video,President Trump blames the Obama administration for the security clearance of Michael Flynn.
5/2/17,Trump blames Obama for vetting Flynn  - CNN Video,Trump came to the defense of his fired national security adviser Michael Flynn & blamed the Obama administration for renewing his security clearance.
5/2/17,"Clinton: 'If the election had been on October 27, I would be your president'","Hillary Clinton delivered her most forceful critique of President Donald Trump's 2016 victory on Tuesday, taking personal responsibility for her failed campaign but also pointed to the timing of a letter from FBI Director James Comey and Russian interference as factors."
5/2/17,Hillary Clinton just delivered a stunning indictment of the 2016 election -- and Donald Trump,"Hillary Clinton had kept a purposely low profile in the wake of her stunning 2016 defeat at the hands of President Donald Trump. Until Tuesday, that is."
5/2/17,USDA shifts Obama-era school lunch guidelines,"The USDA  will relax school meal standards for the forthcoming school year in three key areas: whole grains, salt and milk."
5/2/17,Trump's Army secretary nominee in jeopardy,"The nomination of President Donald Trump's Army secretary is in serious jeopardy, and he could be withdrawing as soon as this week, three sources familiar with the matter told CNN."
5/2/17,Ex-officer Michael Slager pleads guilty in death of Walter Scott,"In a deal with federal prosecutors, former South Carolina police officer Michael Slager admitted to using excessive force in the shooting death of Walter Scott."
5/2/17,Trump Abruptly Ends CBS Interview After Wiretap Question,The testy exchange was at odds with the image of competence and message discipline White House officials have labored to show over the past week.
5/2/17,Jimmy KimmelÕs Emotional Monologue: His New SonÕs Heart Condition,The host of ÒLive!Ó revealed that he was off last week because his wife had given birth to a son. Then he told a frightening story.
5/2/17,Police Account Changes in Killing of Texas 15-Year-Old,Jordan Edwards was shot late on Saturday when the police in a Dallas suburb were responding to a call reporting young people drinking.
5/2/17,TrumpÕs ÔVery FriendlyÕ Talk With Duterte Stuns Aides and Critics Alike,"The administration is bracing for an avalanche of criticism after the president embraced Rodrigo Duterte, who has led a deadly crackdown on drugs in the Philippines."
5/2/17,"Rihanna, Kendall Jenner, J.Lo and More Met Gala 2017 Looks",They donÕt call it the Oscars of the East Coast for nothing. See the celebrities who ascended the steps of the Met on Monday night Ñ and what they wore.
5/2/17,Everything You Need to Know About the Met Gala 2017,"The inside scoop on Òthe party of the year,Ó from how much it costs to who gets to go and why you should care."
5/2/17,"With Fox News in Tumult, Another Executive, Bill Shine, Is Ousted","The removal of a co-president, a holdover from the Roger Ailes era, continued a housecleaning prompted by a sexual harassment scandal."
5/2/17,Ivanka Trump Has the PresidentÕs Ear. HereÕs Her Agenda.,The first daughter has the presidentÕs trust and a widening portfolio. So what will she do with it?
5/2/17,Trump on the Civil War: ÔWhy Could That One Not Have Been Worked Out?Õ,"Could Andrew Jackson have stopped the war? Trump suggests so in an interview on SiriusXM. The seventh president, a slaveholder, died 16 years before the war began."
5/2/17,Trump raises prospect of government shutdown to leverage better budget for GOP in fall,The president also suggested changing the rules in the Senate to eliminate the legislative filibuster.
5/2/17,"While in White House, Trumps remained selling points for Ôvery specialÕ Philippines project",Video testimonials from the president and daughter Ivanka were featured on the website for Manila tower Ñ until this week.
5/2/17,GOP health-care push faces new obstacles as concerns about preexisting conditions grow,It is unclear when or even if the revamped House GOP plan will come to a vote.
5/2/17,Jon Tester could teach Democrats a lot about rural America Ñ if he can keep his Senate seat,"Part farmer, part D.C. insider, and fully vulnerable in 2018, the gentleman from Montana plows forward."
5/2/17,Hillary Clinton blames Russian hackers and FBIÕs Comey for 2016 election loss,The former Democratic nominee said she is now Ópart of the resistanceÓ to President Trump.
5/2/17,"An emotional Jimmy Kimmel discusses newborn sonÕs heart disease, makes passionate health-care plea","""No parent should ever have to decide if they can afford to save their child's life,"" Kimmel said tearfully on his show Monday night."
5/2/17,Trump and Putin discuss cease-fire in Syria in first conversation since U.S. airstrikes,The Kremlin said the two leaders are trying to meet at the Group of 20 summit in July.
5/2/17,Analysis | Why CNN refused to air TrumpÕs new ad targeting Ôfake newsÕ,"""The ad is false,Ó according to the network."
5/2/17,"Perspective | If you think Fox News is changing, Rupert MurdochÕs internal memo shows it isnÕt. At all.",Tainted culture endures in rise of Ailes enablers and single-minded devotion to profits.
5/2/17,A young photographer took this harrowing image of the Vietnam War. He didnÕt live to see it published.,Robert J. Ellison was a 23-year-old freelancer working for Newsweek magazine when he took unforgettable photos of the siege of Khe Sanh. He was killed days later.
5/2/17,Brexit: Theresa May says she'll be 'bloody difficult' to Juncker,Theresa May responds to claims she clashed with the EU Commission chief over Brexit.
5/2/17,Diane Abbott says she 'misspoke' on Labour's police policy,Diane Abbott insists she can be trusted after getting the cost wrong of Labour's policing pledge.
5/2/17,Madeleine McCann questioning shocked suspect,The man was quizzed over a UK police theory that the girl was taken in a burglary that went wrong.
5/2/17,Priory's care plan for anorexic teen Pippa McManus 'inadequate',"Pippa McManus, 15, stepped in front of a train five days after leaving The Priory hospital."
5/2/17,Six on trial over topless photos of Duchess of Cambridge,"Prince William says the clandestine way the images were taken in France was ""particularly shocking""."
5/2/17,FBI woman went to Syria to wed IS recruiter she investigated,The married linguist reportedly wed the jihadist six months after being assigned to investigate him.
5/2/17,Brexit leads first Evening Standard under George Osborne,Relations between the PM and EU lead the Evening Standard on the ex-chancellor's first day as editor.
5/2/17,Chechnya gay rights: Merkel urges Putin to intervene,"Germany's leader urges Russia to protect gay rights, amid reports of persecution in Chechnya."
5/2/17,Scottish surfer rescued after surviving 32 hours at sea,The dramatic moment a surfer is rescued after spending more than a day drifting at sea off the coast of Scotland.
5/2/17,Patient dies after 54 years in same Airdrie hospital,Ex-soldier James Morris is thought to have spent longer in a single NHS hospital than anyone else.
5/2/17,Greens not ruling out support for Government's 'Gonski 2.0',The Federal Government will have to rely on the Senate to secure its 10-year plan to end the school funding wars.
5/2/17,Where property prices are heading,Barring a major house price crash Ñ which would cause its own damage Ñ it looks unlikely 2017 will be the year for first home buyers. Maybe next year?
5/2/17,How a house packed with civilians became a death trap,Survivors and witnesses of a US airstrike that killed more than 100 civilians say the building they were living in was full of families.
5/2/17,"Trump, Putin discuss Syria, North Korea in 'constructive' phone call",Donald Trump and Vladimir Putin discuss how to resolve the situations in Syria and North Korea.
5/2/17,"Man dies, two injured in shooting at Keysborough",A man has died and two others are in hospital after a shooting in Melbourne's south-east.
5/2/17,NSW Premier calls for radical rethink of federal-state relations,"NSW Premier Gladys Berejiklian will call for a radical rethink of federal-state relations today, arguing that states need more freedom."
5/2/17,"Putin, FBI, misogyny cost me the election, Hillary Clinton says",Hillary Clinton says she was on the way to winning before Russian interference and questionable moves by the FBI influenced the outcome.
5/2/17,North Korea says US bomber flights signal pre-emptive nuclear strike,North Korea accuses the United States of pushing the Korean peninsula to the brink of nuclear war.
5/2/17,Implanted dissolving stent recalled after heart attack fears,Australian health authorities are recalling a heart device that dissolves in the body after research showed it was linked to elevated rates of heart attacks and blood clots.
5/2/17,Why Sydney FC v Melbourne Victory is still the A-League's biggest blue,"Ahead of their third grand final meeting, with the ledger locked at one apiece, Sydney FC and Melbourne Victory are set to show why they are the biggest grudge match in town."
5/2/17,Analysis | Hillary Clinton adds misogyny Ñ and more Ñ to the list of things she blames for her 2016 loss,Clinton says she takes Òabsolute personal responsibilityÓ for her loss. But she doesn't Ñ not really.
5/2/17,Trump raises prospect of government shutdown to leverage better budget for GOP in fall,The president also suggested changing the rules in the Senate to eliminate the legislative filibuster.
